000000000000000121000010227,-2.343,0.849,1.538,0,0,2017/12/01 19:17:06,10:17:06.1372380,0.026
000000000000000121000010227,-2.512,0.756,1.654,0,0,2017/12/01 19:17:06,10:17:06.2453540,0.022
000000000000000121000010227,-2.442,0.771,1.624,0,0,2017/12/01 19:17:06,10:17:06.3534700,0.052
000000000000000121000010227,-2.446,0.77,1.626,0,0,2017/12/01 19:17:06,10:17:06.4615860,0.04
000000000000000121000010227,-2.399,0.815,1.684,0,0,2017/12/01 19:17:06,10:17:06.5697020,0.014
000000000000000121000010227,-2.407,0.751,1.62,0,0,2017/12/01 19:17:06,10:17:06.6778180,0.1
000000000000000121000010227,-2.305,0.77,1.613,0,0,2017/12/01 19:17:06,10:17:06.7859340,0.017
000000000000000121000010227,-2.238,0.749,1.624,0,0,2017/12/01 19:17:07,10:17:07.0021660,0.025
000000000000000121000010227,-2.153,0.728,1.668,0,0,2017/12/01 19:17:07,10:17:07.2183980,0.108
000000000000000121000010227,-2.125,0.751,1.623,0,0,2017/12/01 19:17:07,10:17:07.3265140,0.034
000000000000000121000010227,-2.028,0.688,1.632,0,0,2017/12/01 19:17:07,10:17:07.5427460,0.028
000000000000000121000010227,-1.905,0.688,1.566,0,0,2017/12/01 19:17:07,10:17:07.6508620,0.035
000000000000000121000010227,-1.872,0.789,1.469,0,0,2017/12/01 19:17:07,10:17:07.8670940,0.012
000000000000000121000010227,-1.818,0.755,1.562,0,0,2017/12/01 19:17:08,10:17:08.0833260,0.044
000000000000000121000010227,-1.738,0.812,1.603,0,0,2017/12/01 19:17:08,10:17:08.1914420,0.064
000000000000000121000010227,-1.723,0.843,1.575,0,0,2017/12/01 19:17:08,10:17:08.2995580,0.056
000000000000000121000010227,-1.641,0.869,1.598,0,0,2017/12/01 19:17:08,10:17:08.4076740,0.057
000000000000000121000010227,-1.588,0.972,1.574,0,0,2017/12/01 19:17:08,10:17:08.5157900,0.009
000000000000000121000010227,-1.507,0.965,1.701,0,0,2017/12/01 19:17:08,10:17:08.7320220,0.08
000000000000000121000010227,-1.522,0.888,1.557,0,0,2017/12/01 19:17:08,10:17:08.8401380,0.044
000000000000000121000010227,-1.328,0.821,1.404,0,0,2017/12/01 19:17:08,10:17:08.9482540,0.079
000000000000000121000010227,-1.316,0.891,1.478,0,0,2017/12/01 19:17:09,10:17:09.0563700,0.023
000000000000000121000010227,-1.434,0.847,1.624,0,0,2017/12/01 19:17:09,10:17:09.1644860,0.083
000000000000000121000010227,-1.144,0.859,1.617,0,0,2017/12/01 19:17:09,10:17:09.2726020,0.058
000000000000000121000010227,-1.308,0.932,1.628,0,0,2017/12/01 19:17:09,10:17:09.3807180,0.032
000000000000000121000010227,-1.234,1.022,1.657,0,0,2017/12/01 19:17:09,10:17:09.4888340,0.03
000000000000000121000010227,-1.241,1.03,1.704,0,0,2017/12/01 19:17:09,10:17:09.5969500,0.039
000000000000000121000010227,-1.141,1.183,1.561,0,0,2017/12/01 19:17:09,10:17:09.7050660,0.003
